Time,/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-geod-rad,/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/lat-gc-rad,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-rad,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/geod-alt-ft,/fdm/jsbsim/position/terrain-elevation-asl-ft,/fdm/jsbsim/position/distance-from-start-lon-mt,/fdm/jsbsim/position/distance-from-start-lat-mt,/fdm/jsbsim/position/distance-from-start-mag-mt,/fdm/jsbsim/ap/active-waypoint,/fdm/jsbsim/position/ned-x-relto-field-wp-ft,/fdm/jsbsim/position/ned-y-relto-field-wp-ft,/fdm/jsbsim/position/ned-z-relto-field-wp-ft,/fdm/jsbsim/position/ned-h-relto-field-wp-ft,/fdm/jsbsim/guidance/wp-distance,/fdm/jsbsim/guidance/field-wp-distance,/fdm/jsbsim/position/ned-x-relto-field-wp-m,/fdm/jsbsim/position/ned-y-relto-field-wp-m,/fdm/jsbsim/position/ned-z-relto-field-wp-m,/fdm/jsbsim/position/ned-h-relto-field-wp-m,/fdm/jsbsim/guidance/target-wp-latitude-rad-ONE,/fdm/jsbsim/guidance/target-wp-longitude-rad-ONE,/fdm/jsbsim/guidance/target-field-wp-latitude-rad,/fdm/jsbsim/guidance/target-field-wp-longitude-rad,/fdm/jsbsim/position/h-agl-m
1.6999932,449.865652453154325,137.119050867721455,449.865652453154325,0.930612315067697149,53.3201580162778725,0.927398437948539822,53.1360164214764978,0.142502311490115385,8.16478101924222877,45440.1689480520217,0,1.14013755518686155,43.6734252328162427,43.6883047661586303,1,16723439.1476035938,1780920.41821325733,8489456.41444880515,-8489456.41444880515,19565009.5836848281,19565009.5836848281,5097304.25218957569,542824.543471400859,2587586.31512399577,-2587586.31512399577,0,0,0,0,137.119050880211603
1.749993,449.751292672008276,137.084194006428135,449.751292672008276,0.930612515384604322,53.3201694935912229,0.927398638630644756,53.136027919714131,0.142502284353492464,8.16477946442826585,45440.0680854875609,0,1.2439728697109822,44.9534031915327432,44.9706116531225888,1,16723441.5726383291,1780919.59499471355,8489459.75610853545,-8489459.75610853545,19565013.6570173912,19565013.6570173912,5097304.99134016316,542824.292554388754,2587587.33366188174,-2587587.33366188174,0,0,0,0,137.084194018918282
1.7999928,449.634405370801687,137.048566757020353,449.634405370801687,0.930612715619313469,53.3201809661949682,0.927398839230006766,53.1360394132109519,0.142502255747288031,8.1647778254134824,45439.9646898616193,0,1.35343137688385484,46.2328534045465815,46.2526593042040943,1,16723443.9946126081,1780918.75351588591,8489463.09528277814,-8489463.09528277814,19565017.7253893316,19565017.7253893316,5097305.72955792304,542824.036071642069,2587588.35144219082,-2587588.35144219082,0,0,0,0,137.048566769510501
1.8499926,449.514941841363907,137.012154273247717,449.514941841363907,0.93061291576741334,53.3201924338363682,0.92739903974219895,53.136050901713304,0.142502225642995278,8.16477610056456271,45439.8587121464006,0,1.46862215488318726,47.5117476364621112,47.5344400732567536,1,16723446.4134319369,1780917.89342930564,8489466.43187640049,-8489466.43187640049,19565021.7886463143,19565021.7886463143,5097306.46681405418,542823.773917252431,2587589.3684359272,-2587589.3684359272,0,0,0,0,137.012154284602389
1.8999924,449.392853897064924,136.974941867825407,449.392853897064924,0.930613115824404757,53.3202038962576381,0.927399240162706029,53.1360623849624858,0.142502194012466527,8.16477428826876128,45439.750103866063,0,1.58965290771741263,48.7900570882237474,48.8159465877696732,1,16723448.8290011585,1780917.01439221622,8489469.7657931447,-8489469.7657931447,19565025.8466329649,19565025.8466329649,5097307.20307955332,542823.505986747565,2587590.3846137505,-2587590.3846137505,0,0,0,0,136.974941880315527
1.9499922,449.268093999475241,136.936915051040074,449.268093999475241,0.930613315785701389,53.3202153531959979,0.927399440486925464,53.1360738626947935,0.142502160827882668,8.16477238693216201,45439.6388171658982,0,1.71663008215592749,50.0677524041972362,50.0971717644591266,1,16723451.2412245143,1780916.11606620299,8489473.09693550691,-8489473.09693550691,19565029.8991928659,19565029.8991928659,5097307.93832523189,542823.232176978723,2587591.39994594269,-2587591.39994594269,0,0,0,0,136.936915064665641
1.999992,449.140615172684193,136.898059504634148,449.140615172684193,0.93061351564662631,53.3202268043834877,0.927399640710164674,53.1360853346413577,0.142502126061729212,8.16477039497829971,45439.5248047618516,0,1.84965895938285874,51.344803654466574,51.3781087998812751,1,16723453.6500055715,1780915.19811689202,8489476.42520471662,-8489476.42520471662,19565033.946168378,19565033.946168378,5097308.67252169829,542822.952386028715,2587592.41440239782,-2587592.41440239782,0,0,0,0,136.898059517124267
2.0499918,449.010370761156082,136.858361008000372,449.010370761156082,0.930613715402412334,53.3202382495469607,0.927399840827639488,53.1360968005280725,0.142502089686778494,8.16476831084714227,45439.4080196722789,0,1.98884372307361601,52.6211803249205943,52.6587511684621958,1,16723456.0552470181,1780914.26021371898,8489479.75050078146,-8489479.75050078146,19565037.9874006473,19565037.9874006473,5097309.40563929174,542822.666513141594,2587593.42795263836,-2587593.42795263836,0,0,0,0,136.85836102049052
2.0999916,448.877314232289791,136.817805378001935,448.877314232289791,0.930613915048198126,53.320249688407884,0.927400040834472694,53.1361082600754884,0.142502051676075464,8.16476613299428244,45439.2884150323443,0,2.13428751377117054,53.8968513080473599,53.9390926210252744,1,16723458.4568504635,1780913.30202973098,8489483.07272260636,-8489483.07272260636,19565042.0227294974,19565042.0227294974,5097310.1376480218,542822.374458662001,2587594.44056585059,-2587594.44056585059,0,0,0,0,136.817805390492083
2.1499914,448.741398967802525,136.776378405386225,448.741398967802525,0.930614114579026097,53.3202611206822112,0.92740024072569005,53.1361197129986067,0.142502012002924588,8.1647638598901775,45439.1659439016366,0,2.28609247901418611,55.1717848774420077,55.2191271671003747,1,16723460.8547162395,1780912.32324142428,8489486.39176798053,-8489486.39176798053,19565046.0519933142,19565046.0519933142,5097310.86851750966,542822.07612398616,2587595.45221088082,-2587595.45221088082,0,0,0,0,136.77637841901182
2.1999912,448.602578114718199,136.734065809366115,448.602578114718199,0.930614313989839737,53.3202725460802185,0.927400440496217837,53.1361311590067231,0.142501970640880382,8.16476149001961282,45439.0405590715818,0,2.4443598095524699,56.4459486722282122,56.4988490667642651,1,16723463.248743223,1780911.3235286118,8489489.70753364824,-8489489.70753364824,19565050.0750290155,19565050.0750290155,5097311.59821693506,542821.771411520895,2587596.46285625594,-2587596.46285625594,0,0,0,0,136.734065821856262
2.249991,448.460804384201765,136.690853176304699,448.460804384201765,0.930614513275481503,53.3202839643064124,0.927400640140881527,53.1361425978033495,0.142501927563740083,8.16475902188128089,45438.912212911353,0,2.60918976738474306,57.7193096885608838,57.77825282928913,1,16723465.6388287023,1780910.30257432442,8489493.01991536655,-8489493.01991536655,19565054.0916719548,19565054.0916719548,5097312.3267149888,542821.46022465406,2587597.47247020388,-2587597.47247020388,0,0,0,0,136.690853188794847
2.2999908,448.31602992862463,136.646725922244798,448.31602992862463,0.930614712430686608,53.320295375059132,0.927400839654399012,53.1361540290858585,0.14250188274553785,8.16475645398744732,45438.7808572290887,0,2.78068170795520597,58.9918342364309964,59.0573331768887613,1,16723468.0248681586,1780909.2600647402,8489496.32880787738,-8489496.32880787738,19565058.101755809,19565058.101755809,5097313.05397981498,542821.142467732891,2587598.48102064105,-2587598.48102064105,0,0,0,0,136.646725934734917
