Time,/fdm/jsbsim/forces/fbx-aero-lbs,/fdm/jsbsim/forces/fby-aero-lbs,/fdm/jsbsim/forces/fbz-aero-lbs,/fdm/jsbsim/forces/fwx-aero-lbs,/fdm/jsbsim/forces/fwy-aero-lbs,/fdm/jsbsim/forces/fwz-aero-lbs,/fdm/jsbsim/forces/fbx-gear-lbs,/fdm/jsbsim/forces/fby-gear-lbs,/fdm/jsbsim/forces/fbz-gear-lbs,/fdm/jsbsim/forces/fbx-total-lbs,/fdm/jsbsim/forces/fby-total-lbs,/fdm/jsbsim/forces/fbz-total-lbs,/fdm/jsbsim/forces/load-factor,/fdm/jsbsim/moments/l-aero-lbsft,/fdm/jsbsim/moments/m-aero-lbsft,/fdm/jsbsim/moments/n-aero-lbsft,/fdm/jsbsim/moments/l-gear-lbsft,/fdm/jsbsim/moments/m-gear-lbsft,/fdm/jsbsim/moments/n-gear-lbsft,/fdm/jsbsim/moments/l-total-lbsft,/fdm/jsbsim/moments/m-total-lbsft,/fdm/jsbsim/moments/n-total-lbsft
1.3999944,-91.7754203701956612,30.6942511319375733,-1133.6134109690679,133.796858568587993,23.5347005550571176,1129.59671957409751,0,0,0,15.9067802940544851,30.6942511319375733,-1133.6134109690679,-0.985537459351872425,-20.490250225231577,-103.329938594877675,-99.2680419888962291,0,0,0,66.4203888332104384,6.2533610476149164,-93.8791104609154274
1.4499942,-92.1153313278699386,31.7157852074811188,-1133.88430097818923,134.290794647291534,24.2146793273913055,1129.85147921301473,0,0,0,15.5773203100567059,31.7157852074811188,-1133.88430097818923,-0.985752537980708277,-22.2552870843368993,-104.207109212686461,-103.13853745417461,0,0,0,64.6592802428285438,6.03881456752641554,-97.5595599865199006
1.499994,-92.4345063993268923,32.6802591689560344,-1134.20306229195762,134.768197431777224,24.8499205692051426,1130.15429841848845,0,0,0,15.2682702666421335,32.6802591689560344,-1134.20306229195762,-0.986010154314097886,-24.0206305647431861,-105.135051038704617,-106.662529528891497,0,0,0,62.897670007278208,5.81465862415198842,-100.896435776023651
1.5499938,-92.7326798181887995,33.5835533798247283,-1134.56560997869724,135.227094292523333,25.4377671119325903,1130.50116376931328,0,0,0,14.9797813756400302,33.5835533798247283,-1134.56560997869724,-0.986306768610533569,-25.7860476243822774,-106.108328525283298,-109.828170648969206,0,0,0,61.135743785802859,5.58379521502421028,-103.878191372741426
1.5999936,-93.0097189312243415,34.4220099825760428,-1134.96812482241307,135.665703811119982,25.9759165417197231,1130.88832141775219,0,0,0,14.7118742163950316,34.4220099825760428,-1134.96812482241307,-0.986639068492352833,-27.5512447569905916,-107.121848037832422,-112.625937888858701,0,0,0,59.3737495942018896,5.34861855860883395,-106.495542138071798
1.6499934,-93.2656106147898356,35.1924386891174663,-1135.40703806105398,136.082436678360153,26.4624196483228538,1131.3122622498388,0,0,0,14.4644536460494493,35.1924386891174663,-1135.40703806105398,-0.987003958028326189,-29.3158169757498541,-108.170789434779351,-115.048596203259876,0,0,0,57.6120493799682833,5.11110432079068744,-108.741440085565202
1.6999932,-93.5004484916720457,35.8921198100200485,-1135.87900621118979,136.475894725335138,26.8956772112670777,1131.76969723976413,0,0,0,14.2373227907544617,35.8921198100200485,-1135.87900621118979,-0.987398537247249575,-31.0792219697952845,-109.250547791844554,-117.091151896732939,0,0,0,55.8511453612424305,4.87288863736753797,-110.611036746347409
1.749993,-93.7144209003060098,36.5188044488924177,-1136.38088201879987,136.844868618008434,27.2744350756676326,1132.25752896816948,0,0,0,14.030196150399334,36.5188044488924177,-1136.38088201879987,-0.987820077556374354,-32.8407592447294974,-110.356686973162141,-118.750796412650502,0,0,0,54.0917013128348998,4.63533511416316912,-112.101634418147412
1.7999928,-93.9077996186786663,37.0707119392378033,-1136.90968571640974,137.188334603901978,27.5977776026554942,1132.77282343314164,0,0,0,13.8427118015797532,37.0707119392378033,-1136.90968571640974,-0.988265996912008782,-34.5995525099786789,-111.484905146510528,-120.026841086035859,0,0,0,52.3345605316853124,4.39958959522610371,-113.212626745995223
1.8499926,-94.0811663308241322,37.5465279724361309,-1137.45573041203966,137.505495823802789,27.865119719538189,1133.30592515410672,0,0,0,13.6742058334995278,37.5465279724361309,-1137.45573041203966,-0.988728902121120079,-36.354500445617596,-112.631104053573637,-120.920642392245014,0,0,0,50.5807954062443557,4.16653087456650439,-113.945420186335809
