Time,/fdm/jsbsim/atmosphere/wind-north-kts,/fdm/jsbsim/atmosphere/wind-east-kts,/fdm/jsbsim/atmosphere/wind-down-kts,/fdm/jsbsim/atmosphere/wind-x-kts,/fdm/jsbsim/atmosphere/wind-y-kts,/fdm/jsbsim/atmosphere/wind-z-kts,/fdm/jsbsim/accelerations/Ny,/fdm/jsbsim/accelerations/Nz
0.8749965,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.7692906836086706e-13,-7.07234544190405095e-16,3.86835814901099241e-15,0.0154638267702084335,0.990619255425567502
0.8833298,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76929217820754481e-13,-7.17802445402205271e-16,3.85956571381809043e-15,0.0156469847884688935,0.990552306051071474
0.8916631,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76929369230437267e-13,-7.28708546215567827e-16,3.85057061851374391e-15,0.0158305879375038108,0.990487335763710175
0.8999964,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76929522488777694e-13,-7.39962561218502096e-16,3.84137134562627203e-15,0.0160146029540627829,0.990424349517219027
0.9083297,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76929677488257251e-13,-7.51574189911539739e-16,3.8319664210731274e-15,0.0161989967005828524,0.990363350766305106
0.916663,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.7692983411480428e-13,-7.63553115137675342e-16,3.82235441345882323e-15,0.0163837361687053963,0.990304341537004418
0.9249963,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76929992247618123e-13,-7.75909001525703733e-16,3.81253393336240575e-15,0.0165687884828077184,0.990247322496880855
0.9333296,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76930151758989142e-13,-7.8865149394119201e-16,3.80250363261667124e-15,0.0167541209035081337,0.990192293021901815
0.9416629,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76930312514116105e-13,-8.01790215949786478e-16,3.79226220358088677e-15,0.0169397008311841582,0.990139251261810571
0.9499962,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76930474370919204e-13,-8.15334768291639872e-16,3.7818083784085537e-15,0.0171254958094894834,0.990088194205486882
0.9583295,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76930637179850406e-13,-8.29294727365735034e-16,3.77114092831254666e-15,0.0173114735288456105,0.990039117742227859
0.9666628,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76930800783699803e-13,-8.43679643726152044e-16,3.76025866282840115e-15,0.0174976018299549847,0.989992016722792467
0.9749961,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76930965017399476e-13,-8.5849904058942279e-16,3.74916042907819265e-15,0.0176838487072758926,0.989946885018723299
0.9833294,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76931129707823183e-13,-8.73762412353851174e-16,3.73784511103528279e-15,0.0178701823125096658,0.989903715578376642
0.9916627,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76931294673584059e-13,-8.89479223129145318e-16,3.72631162879219489e-15,0.0180565709580629528,0.989862500482704299
0.999996,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76931459724828326e-13,-9.05658905279838948e-16,3.71455893783206779e-15,0.0182429831205050547,0.989823230998457149
1.0083293,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.7693162466302668e-13,-9.22310857978260764e-16,3.70258602830554414e-15,0.0184293874440135119,0.98978589762962943
1.0166626,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76931789280762547e-13,-9.39444445771587144e-16,3.69039192431315148e-15,0.0186157527437922424,0.989750490167486396
1.0249959,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76931953361518045e-13,-9.57068997159915134e-16,3.67797568319525097e-15,0.0188020480094930088,0.989716997737550397
1.0333292,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76932116679456684e-13,-9.75193803187245052e-16,3.66533639482899662e-15,0.0189882424085887277,0.989685408845991543
1.0416625,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76932278999204105e-13,-9.9382811604447606e-16,3.65247318093480509e-15,0.019174305289777361,0.989655711424563989
