Time,/fdm/jsbsim/atmosphere/wind-north-fps,/fdm/jsbsim/atmosphere/wind-east-fps,/fdm/jsbsim/atmosphere/wind-down-fps,/fdm/jsbsim/atmosphere/wind-mag-fps,/fdm/jsbsim/atmosphere/psiw-rad,/fdm/jsbsim/atmosphere/wind-x-fps,/fdm/jsbsim/atmosphere/wind-y-fps,/fdm/jsbsim/atmosphere/wind-z-fps,/fdm/jsbsim/atmosphere/wind-north-kts,/fdm/jsbsim/atmosphere/wind-east-kts,/fdm/jsbsim/atmosphere/wind-down-kts,/fdm/jsbsim/atmosphere/wind-mag-kts,/fdm/jsbsim/atmosphere/psiw-deg,/fdm/jsbsim/atmosphere/wind-x-kts,/fdm/jsbsim/atmosphere/wind-y-kts,/fdm/jsbsim/atmosphere/wind-z-kts
79.3996824,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92168712699262852e-13,-5.35442908723683597e-14,3.14629671580987836e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73105287574910042e-13,-3.17241356332242934e-14,1.86413046336990005e-14
79.4496822,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92182217232161281e-13,-5.35472260465462365e-14,3.1332292986294092e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73113288794579852e-13,-3.17258746769618999e-14,1.85638822776914682e-14
79.499682,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92195541536872979e-13,-5.35505909624960479e-14,3.12020156608799038e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73121183231932648e-13,-3.17278683358235081e-14,1.84866950468207696e-14
79.5496818,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92208677830720519e-13,-5.35543847617523526e-14,3.10722149351015422e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73128966275856618e-13,-3.17301161011820817e-14,1.84097901936087031e-14
79.5996816,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.9222161858459252e-13,-5.35586062238763831e-14,3.0942970104976624e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73136633465473727e-13,-3.17326172499471729e-14,1.8333214699676972e-14
79.6496814,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92234356515463936e-13,-5.35632537658702379e-14,3.0814360057714939e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73144180485708134e-13,-3.1735370844217862e-14,1.82570153044351782e-14
79.6996812,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92246884582328661e-13,-5.35683254429209856e-14,3.06864632847312208e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73151603164876417e-13,-3.17383757317235976e-14,1.81812385127906939e-14
79.749681,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92259195984772563e-13,-5.357381895016599e-14,3.05593578661258426e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73158897473841994e-13,-3.17416305468701444e-14,1.81059305859537055e-14
79.7996808,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92271284163459776e-13,-5.35797316252172152e-14,3.04331214332775758e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.731660595263033e-13,-3.17451337122351941e-14,1.80311375192740305e-14
79.8496806,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92283142801878645e-13,-5.35860604512495143e-14,3.03078311156122782e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73173085579828267e-13,-3.17488834403981186e-14,1.79569050107024241e-14
79.8996804,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92294765828786611e-13,-5.35928020605060439e-14,3.01835634768170025e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73179972037302801e-13,-3.17528777360168644e-14,1.78832784229984462e-14
79.9496802,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92306147420901986e-13,-5.35999527381192664e-14,3.00603944448853195e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73186715448525696e-13,-3.17571143980918565e-14,1.78103027422834346e-14
79.99968,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92317282005485557e-13,-5.36075084261848544e-14,2.99383992394843256e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.7319331251173811e-13,-3.17615910223797055e-14,1.77380225350066317e-14
80.0496798,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92328164262552629e-13,-5.36154647280562756e-14,2.98176522992903179e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.7319976007493424e-13,-3.17663050039376933e-14,1.76664819048927247e-14
80.0996796,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92338789126538544e-13,-5.36238169128469977e-14,2.96982272111910327e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73206055136848067e-13,-3.17712535397912404e-14,1.75957244509953092e-14
80.1496794,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.923491517873063e-13,-5.36325599201463313e-14,2.95801966426066689e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73212194847550387e-13,-3.17764336317279821e-14,1.75257932275981684e-14
80.1996792,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92359247673295477e-13,-5.36416883653071892e-14,2.94636324472182704e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73218176498464791e-13,-3.17818420894306627e-14,1.74567308068576694e-14
80.249679,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92369071993876027e-13,-5.36511965662076123e-14,2.93486101240705477e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73223997251219658e-13,-3.17874755463329497e-14,1.73885819207498141e-14
80.2996788,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92378619786348177e-13,-5.36610786016094057e-14,2.92352082753443969e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73229654165494722e-13,-3.17933304941959458e-14,1.73213931398091499e-14
80.3496786,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.9238788646478404e-13,-5.36713283206721228e-14,2.91235030982190332e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73235144524201119e-13,-3.17994032887451047e-14,1.72552096096452049e-14
80.3996784,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92396867840580657e-13,-5.36819393347416355e-14,2.90135681025268467e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.732404658456586e-13,-3.18056901448050609e-14,1.71900748836575153e-14
80.4496782,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92405560108414333e-13,-5.36929050094195644e-14,2.89054741717679185e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73245615875273771e-13,-3.18121871316009408e-14,1.71260309591857442e-14
80.499678,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92413959826806088e-13,-5.37042184578935034e-14,2.87992896786477562e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73250592574025392e-13,-3.18188901688065732e-14,1.70631183459639389e-14
80.5496778,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,2.92422063895956857e-13,-5.37158725360240831e-14,2.86950806286255873e-14,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,1.73255394105332111e-13,-3.18257950236336936e-14,1.70013761511706034e-14
